date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:57:34	43983/43983	---M--	200	added ('OK')	text/html	etag:%2275b1c6a2af29d81:0%22	https://www.fintraksoftware.com/index.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/index.html	(from )
23:57:35	36/36	---M--	200	added ('OK')	text/plain	etag:%225628ded1b029d81:0%22	https://www.fintraksoftware.com/robots.txt		(from )
23:57:37	12768/12768	---M--	200	added ('OK')	image/jpeg	etag:%222aeaf7b3af29d81:0%22	https://www.fintraksoftware.com/assets/images/fin-logo-bdg-195x65.jpg	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/images/fin-logo-bdg-195x65.jpg	(from https://www.fintraksoftware.com/index.html)
23:57:38	8709/8709	---M--	200	added ('OK')	text/css	etag:%22db926e67b029d81:0%22	https://www.fintraksoftware.com/assets/web/assets/mobirise-icons2/mobirise2.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/web/assets/mobirise-icons2/mobirise2.css	(from https://www.fintraksoftware.com/index.html)
23:57:39	7613/7613	---M--	200	added ('OK')	text/css	etag:%22e5a5445fb029d81:0%22	https://www.fintraksoftware.com/assets/web/assets/mobirise-icons/mobirise-icons.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/web/assets/mobirise-icons/mobirise-icons.css	(from https://www.fintraksoftware.com/index.html)
23:57:41	153182/153182	---M--	200	added ('OK')	text/css	etag:%22a222940b029d81:0%22	https://www.fintraksoftware.com/assets/bootstrap/css/bootstrap.min.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/bootstrap/css/bootstrap.min.css	(from https://www.fintraksoftware.com/index.html)
23:57:42	48488/48488	---M--	200	added ('OK')	text/css	etag:%22f0449441b029d81:0%22	https://www.fintraksoftware.com/assets/bootstrap/css/bootstrap-grid.min.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/bootstrap/css/bootstrap-grid.min.css	(from https://www.fintraksoftware.com/index.html)
23:57:43	3836/3836	---M--	200	added ('OK')	text/css	etag:%22e478ce42b029d81:0%22	https://www.fintraksoftware.com/assets/bootstrap/css/bootstrap-reboot.min.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/bootstrap/css/bootstrap-reboot.min.css	(from https://www.fintraksoftware.com/index.html)
23:57:45	7982/7982	---M--	200	added ('OK')	text/css	etag:%229dc4d4db029d81:0%22	https://www.fintraksoftware.com/assets/dropdown/css/style.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/dropdown/css/style.css	(from https://www.fintraksoftware.com/index.html)
23:57:46	52789/52789	---M--	200	added ('OK')	text/css	etag:%2251d23854b029d81:0%22	https://www.fintraksoftware.com/assets/animatecss/animate.min.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/animatecss/animate.min.css	(from https://www.fintraksoftware.com/index.html)
23:57:47	237/237	---M--	200	added ('OK')	text/css	etag:%22bf439746b029d81:0%22	https://www.fintraksoftware.com/assets/tether/tether.min.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/tether/tether.min.css	(from https://www.fintraksoftware.com/index.html)
23:57:49	15507/15507	---M--	200	added ('OK')	text/css	etag:%22bdce426fb029d81:0%22	https://www.fintraksoftware.com/assets/socicon/css/styles.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/socicon/css/styles.css	(from https://www.fintraksoftware.com/index.html)
23:57:50	18440/18440	---M--	200	added ('OK')	text/css	etag:%22d4223449b029d81:0%22	https://www.fintraksoftware.com/assets/theme/css/style.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/theme/css/style.css	(from https://www.fintraksoftware.com/index.html)
23:57:52	261349/261349	---M--	200	added ('OK')	text/css	etag:%2224b9423cb029d81:0%22	https://www.fintraksoftware.com/assets/mobirise/css/mbr-additional.css	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/mobirise/css/mbr-additional.css	(from https://www.fintraksoftware.com/index.html)
23:57:53	19467/19467	---M--	200	added ('OK')	text/html	etag:%2282abd3a3af29d81:0%22	https://www.fintraksoftware.com/About.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/About.html	(from https://www.fintraksoftware.com/index.html)
23:57:54	16699/16699	---M--	200	added ('OK')	text/html	etag:%2259e9cb0af29d81:0%22	https://www.fintraksoftware.com/client.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/client.html	(from https://www.fintraksoftware.com/index.html)
23:57:55	22114/22114	---M--	200	added ('OK')	text/html	etag:%2229bcb0b1af29d81:0%22	https://www.fintraksoftware.com/page14.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/page14.html	(from https://www.fintraksoftware.com/index.html)
23:57:58	3071516/3071516	---M--	200	added ('OK')	image/jpeg	etag:%2230e77ebaaf29d81:0%22	https://www.fintraksoftware.com/assets/images/helloquence-61189-min-1-2000x1335.jpg	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/images/helloquence-61189-min-1-2000x1335.jpg	(from https://www.fintraksoftware.com/index.html)
23:57:59	1152800/1152800	---M--	200	added ('OK')	image/jpeg	etag:%2225490beaf29d81:0%22	https://www.fintraksoftware.com/assets/images/all-bong-98724-min-1-1200x600.jpg	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/images/all-bong-98724-min-1-1200x600.jpg	(from https://www.fintraksoftware.com/index.html)
23:58:00	401291/401291	---M--	200	added ('OK')	image/jpeg	etag:%22857a15c0af29d81:0%22	https://www.fintraksoftware.com/assets/images/glenn-carstens-peters-203007-min-1-1200x600.jpg	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/images/glenn-carstens-peters-203007-min-1-1200x600.jpg	(from https://www.fintraksoftware.com/index.html)
23:58:02	365447/365447	---M--	200	added ('OK')	image/png	etag:%2214c51ec2af29d81:0%22	https://www.fintraksoftware.com/assets/images/new-erp-4-1286x1286.png	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/assets/images/new-erp-4-1286x1286.png	(from https://www.fintraksoftware.com/index.html)
23:58:02	17725/17725	---M--	200	added ('OK')	text/html	etag:%2232beaa4af29d81:0%22	https://www.fintraksoftware.com/finance.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/finance.html	(from https://www.fintraksoftware.com/index.html)
23:58:03	15242/15242	---M--	200	added ('OK')	text/html	etag:%226d86f9a5af29d81:0%22	https://www.fintraksoftware.com/Core%20Banking.html	C:/Users/USER/Fintrak/Fintrak/www.fintraksoftware.com/Core%20Banking.html	(from https://www.fintraksoftware.com/index.html)
